model,MAE,RMSE,sMAPE,MAPE
HistGradientBoosting,19.682153902552614,56.53125639829243,84.29054539962536,304.73743217252735
CatBoost,19.901268653598404,57.68432472439366,80.71714622790722,281.3366734443974
Ridge,20.512633172937562,56.42343954875243,90.52138858837239,344.07033153785164
XGBoost,24.569250106811523,68.1482722577671,83.93476114275563,346.2080111624765
RandomForest,29.271654841066148,67.48492284195379,95.02818430645415,481.08960855598264
Seasonal-Naive-30,36.403285,101.897618,88.08054,250.741354
