iter	Passed	Remaining
399	49704	24852
400	49825	24726
401	49949	24602
402	50059	24470
403	50170	24340
404	50296	24216
405	50395	24080
406	50492	23943
407	50608	23815
408	50731	23691
409	50838	23559
410	50957	23432
411	51089	23312
412	51221	23192
413	51330	23061
414	51441	22931
415	51554	22802
416	51655	22668
417	51759	22536
418	51858	22401
419	51977	22275
420	52101	22152
421	52209	22021
422	52301	21885
423	52414	21757
424	52516	21624
425	52636	21499
426	52753	21373
427	52870	21247
428	52988	21121
429	53097	20992
430	53213	20865
431	53329	20739
432	53437	20610
433	53549	20481
434	53665	20355
435	53774	20227
436	53873	20094
437	53989	19968
438	54082	19834
439	54193	19706
440	54308	19580
441	54415	19451
442	54508	19318
443	54611	19187
444	54733	19064
445	54825	18930
446	54933	18802
447	55047	18676
448	55168	18553
449	55274	18424
450	55382	18297
451	55496	18171
452	55611	18046
453	55732	17922
454	55849	17798
455	55954	17669
456	56076	17546
457	56199	17424
458	56313	17299
459	56435	17175
460	56549	17050
461	56668	16926
462	56787	16803
463	56890	16674
464	57006	16550
465	57118	16424
466	57217	16295
467	57333	16170
468	57458	16049
469	57572	15924
470	57830	15838
471	57954	15716
472	58080	15594
473	58199	15470
474	58345	15354
475	58583	15261
476	58805	15163
477	58942	15043
478	59081	14924
479	59219	14804
480	59362	14686
481	59475	14560
482	59605	14438
483	59732	14316
484	59879	14198
485	60025	14080
486	60157	13958
487	60273	13833
488	60420	13714
489	60553	13593
490	60681	13471
491	60813	13349
492	60968	13232
493	61076	13105
494	61189	12979
495	61320	12857
496	61460	12737
497	61584	12613
498	61718	12492
499	61838	12367
500	61963	12244
501	62074	12118
502	62224	11999
503	62391	11884
504	62511	11759
505	62621	11633
506	62732	11507
507	62849	11382
508	62998	11263
509	63120	11138
510	63242	11014
511	63409	10898
512	63524	10773
513	63630	10646
514	63746	10521
515	63895	10401
516	64031	10279
517	64159	10156
518	64272	10031
519	64402	9908
520	64528	9784
521	64655	9661
522	64786	9538
523	64918	9415
524	65050	9292
525	65171	9168
526	65303	9045
527	65436	8923
528	65572	8800
529	65706	8678
530	65834	8554
531	65960	8430
532	66105	8309
533	66224	8185
534	66335	8059
535	66466	7936
536	66595	7812
537	66715	7688
538	66854	7566
539	66971	7441
540	67107	7318
541	67232	7194
542	67372	7072
543	67485	6947
544	67620	6824
545	67766	6702
546	67896	6578
547	68011	6453
548	68161	6331
549	68290	6208
550	68424	6084
551	68559	5961
552	68687	5837
553	68822	5714
554	68930	5588
555	69059	5465
556	69197	5342
557	69330	5218
558	69460	5094
559	69592	4970
560	69727	4847
561	69854	4723
562	69993	4599
563	70125	4476
564	70266	4352
565	70394	4228
566	70513	4103
567	70634	3979
568	70777	3856
569	70911	3732
570	71039	3607
571	71183	3484
572	71300	3359
573	71430	3235
574	71557	3111
575	71680	2986
576	71812	2862
577	71957	2738
578	72073	2614
579	72193	2489
580	72338	2365
581	72472	2241
582	72611	2117
583	72737	1992
584	72878	1868
585	72998	1743
586	73107	1619
587	73232	1494
588	73366	1370
589	73494	1245
590	73619	1121
591	73748	996
592	73897	872
593	74022	747
594	74157	623
595	74295	498
596	74433	374
597	74553	249
598	74682	124
599	74810	0
