iter	RMSE
161	52.75625836
162	52.73818137
163	52.70991648
164	52.70160478
165	52.68818408
166	52.68097414
167	52.65933675
168	52.65502564
169	52.64103607
170	52.63184895
171	52.6259437
172	52.62201238
173	52.60640628
174	52.60161691
175	52.59507526
176	52.58020867
177	52.55399474
178	52.53263611
179	52.51543428
180	52.51341307
181	52.50831805
182	52.50214612
183	52.4846248
184	52.46959659
185	52.46026752
186	52.45596682
187	52.44751357
188	52.42720902
189	52.40269289
190	52.36807322
191	52.35835843
192	52.34598071
193	52.33705842
194	52.31048097
195	52.29817597
196	52.28639104
197	52.27110352
198	52.26035783
199	52.23319072
200	52.23078134
201	52.21575479
202	52.20139669
203	52.19421895
204	52.18465638
205	52.16151357
206	52.1394175
207	52.12930946
208	52.11337611
209	52.10932115
210	52.09683224
211	52.09026671
212	52.07924458
213	52.07092291
214	52.06141907
215	52.05527922
216	52.02673695
217	52.0072947
218	51.99444972
219	51.98810403
220	51.98223711
221	51.97651165
222	51.96210898
223	51.94236694
224	51.92741527
225	51.9205041
226	51.91157118
227	51.90137791
228	51.89804601
229	51.87749841
230	51.79059367
231	51.71967829
232	51.70321228
233	51.68903278
234	51.67449826
235	51.65452461
236	51.63603532
237	51.62799445
238	51.61315507
239	51.59478114
240	51.57938568
241	51.57193054
242	51.56378823
243	51.53669107
244	51.53170434
245	51.52675592
246	51.51582527
247	51.49860716
248	51.47075738
249	51.46302241
250	51.44823064
251	51.43677459
252	51.43334698
253	51.42016676
254	51.41540317
255	51.40691272
256	51.40306192
257	51.38990135
258	51.3651963
259	51.36223855
260	51.34404881
261	51.33965313
262	51.31901276
263	51.30031723
264	51.29234078
265	51.28913779
266	51.26781945
267	51.25597223
268	51.23640012
269	51.23173282
270	51.21939266
271	51.21054409
272	51.19863142
273	51.18080269
274	51.17381679
275	51.16690579
276	51.1615454
277	51.14633146
278	51.12677248
279	51.11989829
280	51.11214404
281	51.10563567
282	51.09946468
283	51.09390377
284	51.06426795
285	51.04968669
286	51.02874312
287	51.01743879
288	51.01157109
289	50.99237691
290	50.98632065
291	50.97015225
292	50.96013739
293	50.95611679
294	50.94911121
295	50.92895814
296	50.916205
297	50.90532555
298	50.89884324
299	50.88962002
300	50.87832661
301	50.87223641
302	50.86652269
303	50.86139379
304	50.84828342
305	50.83006122
306	50.81559865
307	50.80549157
308	50.78770199
309	50.76997698
310	50.76524568
311	50.75017928
312	50.74569905
313	50.73889812
314	50.73373124
315	50.72882168
316	50.71615356
317	50.6984425
318	50.68643759
319	50.65662085
320	50.65246476
321	50.62126433
322	50.5980522
323	50.59338062
324	50.58637533
325	50.56832742
326	50.53978354
327	50.53033454
328	50.52618687
329	50.50350338
330	50.48816825
331	50.47461681
332	50.45741224
333	50.45372758
334	50.43723896
335	50.43087752
336	50.42666596
337	50.42063463
338	50.4032886
339	50.39927497
340	50.39415066
341	50.38741409
342	50.3707179
343	50.36215587
344	50.34841201
345	50.34473984
346	50.33350011
347	50.31163293
348	50.30205961
349	50.27727854
350	50.27460674
351	50.2711252
352	50.25859011
353	50.25511981
354	50.25181625
355	50.24576149
356	50.23047178
357	50.20977818
358	50.18526403
359	50.17891411
360	50.16980155
361	50.15528971
362	50.13430441
363	50.10680422
364	50.09163795
365	50.08671333
366	50.08154709
367	50.06473685
368	50.06227529
369	50.05465449
370	50.04946489
371	50.04493511
372	50.03753224
373	50.02565704
374	50.02068286
375	50.00789451
376	49.99125873
377	49.98314666
378	49.97988837
379	49.95873276
380	49.95251973
381	49.93977661
382	49.93218683
383	49.92721499
384	49.9214436
385	49.90433401
386	49.89926779
387	49.87511016
388	49.85890302
389	49.85320926
390	49.83806135
391	49.80485747
392	49.80005851
393	49.79745145
394	49.78542343
395	49.75891181
396	49.74023744
397	49.73716726
398	49.71732892
399	49.71440806
400	49.70754819
401	49.70029988
402	49.69523987
403	49.69202216
404	49.67644483
405	49.66631916
406	49.63229325
407	49.6229372
408	49.61807819
409	49.60262075
410	49.57498746
411	49.56859661
412	49.54286964
413	49.52844676
414	49.51960859
415	49.4944309
416	49.48550348
417	49.47821329
418	49.46150275
419	49.45684461
420	49.44690342
421	49.43801811
422	49.42932765
423	49.40628411
424	49.39200049
425	49.38872788
426	49.37488475
427	49.37021578
428	49.36331049
429	49.34162947
430	49.32596783
431	49.31082371
432	49.30250425
433	49.28764519
434	49.28395419
435	49.27960671
436	49.27516564
437	49.26020288
438	49.25682867
439	49.25088713
440	49.24185467
441	49.22757673
442	49.21089435
443	49.20678889
444	49.18253974
445	49.17945726
446	49.1740911
447	49.15997957
448	49.143388
449	49.13918133
450	49.1050845
451	49.09756847
452	49.07383705
453	49.06618328
454	49.05277817
455	49.05014733
456	49.03563839
457	49.03226235
458	49.02545778
459	48.99273534
460	48.984309
461	48.97453998
462	48.96974296
463	48.96735576
464	48.95647395
465	48.94374618
466	48.91180053
467	48.88348441
468	48.87006229
469	48.86186099
470	48.85624689
471	48.82508155
472	48.82149867
473	48.81553231
474	48.7851504
475	48.75552005
476	48.74323758
477	48.73778701
478	48.73266972
479	48.72647915
480	48.71190281
481	48.70034906
482	48.67142137
483	48.66490128
484	48.65980596
485	48.65451178
486	48.6492437
487	48.63738291
488	48.63075876
489	48.6218931
490	48.61756138
491	48.61020024
492	48.60551567
493	48.60315432
494	48.59824835
495	48.5896381
496	48.58412325
497	48.56997194
498	48.55061773
499	48.52858384
