product_id,observations,actual_demand,hgb_total_abs_error,catboost_total_abs_error,hgb_mean_abs_error,catboost_mean_abs_error,hgb_mean_error,catboost_mean_error
1,50,2105,1491.6944718238296,1542.2121539093264,29.833889436476593,30.844243078186526,2.1861763777947543,4.497378713525768
2,34,643,388.84487810128553,442.5108468594236,11.436614061802516,13.015024907630107,2.331399369236116,6.036101852139762
3,6,9,44.227701585355696,26.44556594279338,7.371283597559283,4.407594323798897,7.371283597559283,4.407594323798897
4,17,41,59.643980209030886,28.367986246852528,3.50846942406064,1.6687050733442663,3.2311673080530396,-0.02656447182870197
5,6,40,28.852749637224456,50.576443426516775,4.808791606204076,8.429407237752796,4.330980787109706,7.886596413466244
7,41,513,470.44836701852677,475.3629284343833,11.474350415086018,11.594217766692276,0.33161168714826306,0.4546204889935534
8,58,2191,1456.6194057866778,1426.531704561369,25.114127685977202,24.595374216575326,-8.77185967819425,-10.967551059949185
9,63,2949,2752.6411589378836,2613.4683596660775,43.69271680853783,41.48362475660441,7.045648287887598,0.044371341848059416
10,44,1704,1868.255757561405,1884.9703036235444,42.46035812639557,42.840234173262374,9.951171793191913,9.273592616716805
11,21,345,820.4883923419311,824.2287043572632,39.07087582580624,39.248985921774434,39.07087582580624,39.248985921774434
12,50,1042,822.3836115362074,801.2514436023203,16.447672230724148,16.025028872046406,-1.189416791613364,-2.365394744457275
13,54,1122,812.8652660720956,789.0024972447601,15.053060482816583,14.611157356384446,-1.7449395813986852,-3.7485531189232555
14,43,743,478.31793484297566,501.30751312344444,11.123672903325016,11.658314258684754,1.1390978658134807,-0.029663326179514685
17,19,145,187.76132092943706,133.354610680253,9.882174785759846,7.018663720013315,3.0203139221922517,-0.5912846686870235
18,1,1,5.112512915451111,3.609574707543027,5.112512915451111,3.609574707543027,5.112512915451111,3.609574707543027
19,63,1024,682.9716033535086,668.5370083236297,10.840819100849343,10.61169854481952,-2.2722721721928196,-2.919944513182452
21,13,54,73.08503595705162,56.74078354409868,5.621925842850124,4.36467565723836,2.993474239726599,1.527679357356591
22,2,17,28.008648552080018,29.917840765170073,14.004324276040009,14.958920382585037,14.004324276040009,14.958920382585037
23,1,6,12.00219294090978,6.411643080300241,12.00219294090978,6.411643080300241,12.00219294090978,6.411643080300241
