date,observations,actual_demand,hgb_total_abs_error,catboost_total_abs_error,hgb_mean_abs_error,catboost_mean_abs_error,hgb_mean_error,catboost_mean_error
2015-09-12,835,16404,14253.742854810442,14320.547803857751,17.070350724323884,17.15035665132665,6.961738958429283,6.139466180656286
2015-09-13,968,35153,28911.250872462522,28516.110523158608,29.86699470295715,29.458791862767157,-10.73961218415747,-10.16122739779944
2015-09-14,760,13547,14182.201953146354,15748.066107714056,18.660792043613622,20.721139615413232,9.465896597458231,12.213162301279086
2015-09-15,817,27749,23227.218039408344,23647.886057988842,28.429887441136284,28.94478097673053,-7.350090627932546,-5.666944386237718
2015-09-16,759,14248,11932.967653250367,11944.611741776665,15.721960017457665,15.737301372564776,7.6793394427750625,7.599875607064857
2015-09-17,31,129,118.07439676282709,48.77246461432175,3.8088515084782935,1.5733053101394112,3.2845403962598807,0.14776349205500186
2015-09-18,864,9075,11982.903229522837,9944.835645911802,13.869100960095876,11.510226442027548,8.801586977392938,5.029711602231291
2015-09-19,795,29373,23418.67603469166,23837.101112442753,29.457454131687623,29.98377498420472,-11.859637941082028,-12.389042736371525
2015-09-20,810,42711,40655.3009964879,41591.82305346883,50.1917296252937,51.347929695640524,-27.360873531932786,-26.08031636856114
2015-09-21,999,19705,18858.396576981875,19105.687629297587,18.877273850832708,19.124812441739326,6.153491309677558,7.025214737321051
2015-09-22,1130,32889,22712.70762329505,22762.947331510117,20.09974125955314,20.14420117832754,-3.039071579834189,-3.4096856905196864
2015-09-23,1072,19967,18299.82999292801,17962.91024198901,17.070736933701504,16.756446121258406,7.080381699587425,5.128890049842131
2015-09-24,31,134,135.66156673202144,61.23262826093978,4.376179572000692,1.9752460729335413,3.5788057391226262,-0.9269396926368869
2015-09-25,1016,19544,15532.393305377485,16050.78780602002,15.287788686395162,15.798019494114193,1.1071577905374683,-2.1966587466000935
2015-09-26,935,15377,15263.394899647637,15618.181203490847,16.324486523687312,16.703937116032993,8.448515007833025,7.604565604309242
2015-09-27,832,19595,16973.680599572,17451.33799825637,20.401058412947116,20.975165863288908,2.9397974444683794,3.7899693408797077
2015-09-28,1103,24162,20808.567426373123,20928.630289510234,18.865428310401743,18.974279500915898,3.943817290572278,2.505759758263964
2015-09-29,1087,27170,18177.261779658398,19548.69401907895,16.722411940808094,17.984079134387258,2.0782414857934475,3.263506189953873
2015-09-30,849,21864,18886.9430875757,20432.97738960664,22.246104932362424,24.06711117739298,1.1447791696326786,2.1101563498727516
2015-10-01,35,131,193.23244065672375,75.12481219726081,5.520926875906393,2.1464232056360233,4.8623170677575915,-0.10089540207420988
2015-10-02,881,8408,15088.805505185655,11165.760171159172,17.126907497373047,12.673961601769776,11.546052729451528,6.081041067252505
2015-10-03,939,24738,23414.969125473388,23246.168522053413,24.936069356201692,24.756303005381696,-1.9746327117956877,-4.054245376025856
2015-10-04,989,23211,22710.421291820334,22671.24548175157,22.963014450778903,22.92340291380341,3.732444214518448,2.8346891759538995
2015-10-05,1052,45982,36359.86448301855,35585.28423053824,34.56260882416212,33.826315808496425,-16.479119559679546,-18.420240150532084
2015-10-06,1206,34641,29018.500131668243,28963.33201778896,24.06177457020584,24.016029865496648,-1.43287409080312,-1.5897889025575749
2015-10-07,943,29771,26246.733523468083,26289.343308304273,27.833227490422146,27.878412840195413,-4.434694334443924,-5.524026108043952
2015-10-08,27,108,142.90337115840205,54.42398026842307,5.292717450311187,2.0157029729045584,5.195872889949345,-0.10856290201543158
2015-10-09,827,7418,12608.339020222722,9674.87830266872,15.2458754778993,11.698764573964594,11.031135035844105,5.892586226970732
2015-10-10,1265,25154,24563.980181400708,24372.700849182645,19.418166151304906,19.26695719302976,4.1282428175988075,3.0582785132006314
2015-10-11,1067,26835,21342.716446031725,23175.609252738454,20.002545872569563,21.72034606629658,1.239556538811472,3.886559140685939
2015-10-12,850,16308,15611.93616770596,16123.825841863947,18.366983726712895,18.969206872781115,10.306957775918658,10.884072287519837
2015-10-13,1059,17904,17262.406696848047,18765.8661938545,16.30066732469126,17.72036467786072,10.039346399413269,11.114637671082729
2015-10-14,905,17385,16369.712925903004,17062.835003427615,18.088080581108294,18.85396132975427,7.790007368583827,8.265069005530966
2015-10-15,32,138,128.1824988378145,48.12801080539974,4.005703088681703,1.5040003376687419,3.6044232761022035,0.2446001860106995
2015-10-16,832,8769,10878.696456355674,10547.893459223971,13.075356317735185,12.677756561567273,6.940657669691505,4.640554438583063
2015-10-17,1215,30175,25559.311903774975,25632.853283835015,21.036470702695453,21.09699858751853,-1.3879485143004466,-0.8360385056819765
2015-10-18,1033,26984,21664.235515374126,22082.284383014623,20.972154419529648,21.376848386267785,0.5271877027725447,1.6908153890250588
2015-10-19,1059,18348,18401.45766571523,19982.471978179194,17.37625841899455,18.86918978109461,9.616342428726233,11.169998933577677
2015-10-20,1179,40938,34470.25468191358,34520.23238671147,29.236857236567925,29.279247147337973,-8.690827134010169,-7.845154024909996
2015-10-21,819,24353,23326.06423654646,23694.750049464372,28.48115291397614,28.93131874171474,-2.0343703369724895,-1.8076992448202764
2015-10-22,29,88,151.4527374119504,61.54677572320521,5.222508186618979,2.122302611145007,4.944018937641789,0.7409672279895168
2015-10-23,1004,7097,13468.037023777384,12214.418343101548,13.414379505754367,12.165755321814292,12.2981275605847,9.858370006967833
2015-10-24,1080,23744,25829.436733004397,26132.774079447718,23.91614512315222,24.197013036525664,2.2557965695667224,2.1087700212843363
2015-10-25,1043,25767,22480.12325191947,25158.433900884444,21.553330059366704,24.12122138148077,2.0791824842491975,5.128181006352314
2015-10-26,1002,20261,21828.601396633403,22858.813700864735,21.78503133396547,22.81318732621231,5.160546182556597,5.433880408531701
2015-10-27,1103,32581,27454.78830114565,27579.960271438355,24.891013872298867,25.004497072926885,-3.7603047999042354,-4.487516513902656
2015-10-28,833,23093,21853.868309743146,21285.673290677696,26.235136026102214,25.553029160477426,-0.5279169340118683,-1.3356384184130452
2015-10-29,26,98,112.15510222473499,65.9226868819976,4.313657777874423,2.535487956999908,3.7250699774302523,0.3346623241905897
2015-10-30,1232,20019,16314.447861473034,17453.14551743105,13.242246640806034,14.166514218694035,3.769266055599411,2.8341312067028728
2015-10-31,1081,15282,18528.918897464675,21643.436737699012,17.14053552031885,20.021680608417217,10.653382169220647,13.464391392062678
2015-11-01,913,16650,16950.38578306242,16399.178041347168,18.56559231441667,17.961859848134903,7.925125581193534,6.593820509495776
2015-11-02,969,26701,23754.703780880394,22785.401337761537,24.51465818460309,23.51434606580138,-0.44280319204148816,-4.376980306791523
2015-11-03,1047,33796,29517.684156969328,29449.024423733284,28.192630522415786,28.1270529357529,-5.615241105116281,-5.977009019602544
2015-11-04,1177,33593,27221.090295468566,26954.84891187041,23.127519367432935,22.901315982897543,-2.78283150109788,-4.738163575250275
2015-11-05,23,75,157.29902248645078,46.45259485788433,6.839087934193512,2.0196780372993186,6.714217146479254,0.9594197525953861
2015-11-06,1352,23253,18425.459970400338,17104.638335867017,13.628298794674805,12.651359715877971,2.871509037716552,-2.5206860797730886
2015-11-07,987,16492,17721.896078450296,18279.04950195278,17.95531517573485,18.51980699285996,8.996105352102797,8.714140333724762
2015-11-08,1065,21741,19057.524076801008,19827.27210382719,17.89438880450799,18.617156905002055,5.544678274471826,5.572020559826652
2015-11-09,1076,37094,30047.840253374896,29184.954148942594,27.925502094214586,27.12356333544851,-7.105104573001333,-8.734600149903077
2015-11-10,1327,38135,30494.534730074192,30753.21766639322,22.980056315052142,23.17499447354425,-2.302513721461672,-1.934766112590678
2015-11-11,1154,24001,20647.24553955919,20945.501395864005,17.89189388176706,18.150347830038132,6.249312498462459,6.712253841436569
2015-11-12,37,158,192.4181872893118,103.52165587562183,5.2004915483597784,2.7978825912330225,4.092519379898512,0.2172244903892457
2015-11-13,1199,19752,17054.03111751634,14572.569425290294,14.223545552557415,12.153936134520679,5.094348470485285,0.12318438863187899
2015-11-14,1326,32174,26803.37291908959,27157.344016851166,20.21370506718672,20.480651596418678,-0.38083103862411094,-0.25341168419862103
2015-11-15,1092,26919,24221.17752364114,26005.414738708365,22.180565497839872,23.814482361454548,1.1243519489784113,3.646876787117849
2015-11-16,1140,29133,22783.945004535428,23461.275687337886,19.98591667064511,20.580066392401655,1.6578196196444859,3.8983164587609793
2015-11-17,1284,30342,23302.65543718417,25346.69157592665,18.148485542978325,19.740413999942874,2.958149599498307,4.749377894804949
2015-11-18,1044,20386,18821.10352718832,18796.545880767186,18.027876941751263,18.004354291922592,8.098383809941879,7.358155579785785
2015-11-19,36,159,156.23961063784182,75.11646424884908,4.339989184384495,2.086568451356919,3.785040040365667,-0.7495933988264493
2015-11-20,1224,18544,16867.07131890219,16342.302055859684,13.780287025246889,13.351553967205623,5.351285289710811,3.0118108710749185
2015-11-21,1087,24632,21651.619554503584,23676.97880753417,19.9186932424136,21.78194922496244,4.172049484786309,5.729519891336764
2015-11-22,1228,31737,27454.8624674392,29667.2179538596,22.357379859478176,24.158972275129965,-0.35247237879690363,1.5037460433884744
2015-11-23,1380,38422,31015.67064768941,31583.66069335391,22.47512365774595,22.88671064735791,-2.413134313766931,-2.0507469411275285
2015-11-24,1159,23022,21483.616074371803,22045.5575814281,18.536338286774637,19.02118859484737,6.740208146337286,6.96960756656183
2015-11-25,940,26810,30214.824538239012,29556.334139305636,32.143430359828734,31.442908658835783,-1.2655046644725498,-2.9058291185624383
2015-11-26,31,139,130.84173680395548,66.60181618606312,4.22070118722437,2.1484456834213908,3.9529495723312618,-1.4140957636396663
2015-11-27,1150,10505,16035.911935114093,14473.506743610425,13.944271247925299,12.585658037922109,11.402738251829568,8.287699757873696
