demand_bucket,observations,actual_demand,hgb_mae,catboost_mae,hgb_mean_error,catboost_mean_error
<=10,43867,3.7958830100075227,12.107866692710218,11.18534564381622,12.01085688243431,10.729263486117723
11-25,21391,16.930017296994063,13.969641086807988,14.980999732944392,11.028724350653983,10.908447453940472
26-50,8798,37.285064787451695,19.390353631858346,22.041775116513158,1.9654535459030367,3.5384853605806224
51-100,4427,71.15292523153377,36.46266292557299,39.14639589275524,-22.244172706686168,-20.817703287166452
101-200,1994,138.00451354062187,86.28505067256512,87.6982371006205,-79.56432119641713,-78.40836376470985
>200,1044,412.2749042145594,341.00455838153863,340.43296545837364,-340.61437317538713,-339.567940874364
